query,score
handwarmer,0.0
beer soap,0.0
plastic toy,0.0
stemless wine 12 oz ss tumbler campfire x20,0.0
maybe,0.0
p large wooden shield with lion,0.0
camping hand warmer,0.0
football toy,0.0
glass marbles,0.0
w-crusher wildflowers ls,0.0
have yourself a merry little roanoke christmas ornament,0.0
carhartt wallets,0.0
beekeeper,0.0
mint scent,0.0
serve ware,0.0
filtering system,0.0
women's cloudaway shoes,0.0
jumbo,0.0
waxed canvas,0.0
mast store long-sleeve t-shirt,0.0
salerno cowl neck top,0.0
nostalgic,0.2
scented candle,0.0
women's forest mule slippers,0.0
season ornament,0.0
farm aminals,0.0
christmas bells,0.0
escape women's pullover,0.0
camping pants,0.0
toys to play with outside,0.0
packaged meals,0.0
luci lux pro x12,0.0
camping lights,0.0
herbal,0.0
solid mauve,0.0
&nbsp nitehowl rechargeable led safety pet necklace - disco,0.0
women's targhee iii mid waterproof,0.0
black hole gear tote - 61l,0.0
game day candle tin,0.0
girls' guitar,0.0
childs onesies,0.0
long-sleeve tee,0.0
tamalitoz cherry its a fire c12t mexico,0.0
ceramic pink coffee mug,0.0
tekfire pro fuel-free lighter 6,0.0
prana,0.4
mesh shoulder straps,0.0
womens cardigans,0.0
bearington collection bentley shih tzu,0.0
backpacking clothing,0.0
kids' dr. dino earflap hat,0.0
slyde,0.0
4 inch,0.0
mast general quote quote mug - sister,0.0
active hoody,0.0
men's valle crucis oceanside vintage long sleeve t-shirt,0.0
ornament pewter snowflake real x1 usa,0.0
christmas table accessories,0.0
strategies for squirrel prevention,0.0
texas a & m leather,0.0
hand lotion,0.0
tapered leg pants,0.0
flour sack dishcloth,0.0
rudolph's night cap soap,0.0
t for tennessee,0.0
canyonlands,0.0
prank card,0.0
patterned shirt,0.0
women's flood pants,0.0
spicy gummi mangos l26.4bs,0.0
mast general store pottery magnet,0.0
vintage dessert dishes,0.0
mountaineer wear,0.0
planting gear,0.0
family tree dishtowel,0.0
snowman plush,0.0
embroidered skinny jeans,0.0
the inspector,0.0
boat,0.0
insulated tkwide with twist cap,0.0
bug shaped,0.0
nylon watch band,0.0
open front coat,0.0
salt sub,0.0
stainless steel handle,0.0
footwear and accessories for kids,0.0
tribal sportswear fall clothing,0.0
photo book,0.0
tim,0.0
world's smallest laser guns toy - 2 pack,0.0
tiki toss camp ready strap,0.0
wooden toy blocks,0.0
gardening gear,0.0
plaid fall top,0.0
men's long sleeve deschutes pocket t-shirt,0.0
tried & true vanilla spruce soy candle,0.0
wnc trail guide pisgah ranger 12,0.0
color sensor,0.0
oblong victorian pewter ornament,0.0
balsamic,0.0
